,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,monthly_downloads,projectrank_placing,trending,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition,apt_id
0,iota-identity,iotaledger/identity.rs,decentralized,True,iota,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-11-01 23:16:10.000000,2023-10-31 08:54:00,10155.0,406.0,243.0,124.0,5706.0,325.0,4450.0,1210.0,2023-10-31 09:47:01,0.6.3,238.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,310.0,101.0,195.0,36,True,11984.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,
1,aries,hyperledger/aries,decentralized,True,aries,https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-11-01 21:28:10.000000,2023-11-01 21:10:45,23747.0,719.0,985.0,188.0,6392.0,930.0,2798.0,1332.0,2023-10-25 15:52:57,,228.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",52.0,,461.0,33,True,584.0,1.0,,['hyperledger'],,,,,,,,,,,,,,,,,,,,
2,trinsic-id,trinsic-id/sdk,decentralized,True,trinsic-id,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-10-28 01:56:33.000000,2023-10-26 13:23:15,1621.0,67.0,27.0,23.0,1768.0,32.0,394.0,53.0,2023-10-13 17:40:05,1.12.0,34.0,Trinsic SDK repository.,542.0,,41.0,28,False,1536.0,1.0,,,8873.0,,,,,,,,,,,,,,,,,,,
3,sphereon-ssi,sphereon-opensource/ssi-sdk,decentralized,True,sphereon-ssi,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-10-26 10:56:49.000000,2023-10-26 10:56:49,4423.0,352.0,49.0,34.0,501.0,22.0,54.0,201.0,2023-10-14 23:03:15,0.17.5,82.0,Self Sovereign Identity SDK.,57.0,1.0,60.0,25,True,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
4,waltid-ssikit,walt-id/waltid-ssikit,decentralized,True,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-01 19:23:29.000000,2023-11-01 19:23:03,3523.0,314.0,64.0,15.0,401.0,7.0,247.0,152.0,2023-11-01 07:01:35,1.2310181323.0,207.0,All-In-One SSI infrastructure toolkit.,,,51.0,25,True,1782.0,2.0,,,57.0,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-10-18 13:36:09.505112,9891.0,,,,,,,,,,,,,,,
5,solid-project,solid/solid,standards,True,solid-project,https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-11-01 17:36:18.000000,2023-11-01 08:46:32,1087.0,45.0,409.0,612.0,251.0,317.0,217.0,8605.0,2021-12-21 13:00:06,,1.0,Solid - Re-decentralizing the web (project directory).,,,43.0,22,True,,1.0,1.0,['solid'],,,,,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,decentralized,True,polygon-id,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-11-01 12:01:33.000000,2023-11-01 07:54:57,1558.0,19.0,64.0,13.0,535.0,21.0,98.0,95.0,2023-11-01 07:56:14,2.2.1,32.0,Self Hosted Issuer Node.,64.0,,30.0,21,False,,2.0,,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
7,spruceid,spruceid/didkit,decentralized,True,spruceid,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-11-01 15:52:00.000000,2023-11-01 15:51:52,1029.0,14.0,124.0,80.0,673.0,129.0,198.0,418.0,,,,A cross-platform toolkit for decentralized identity.,117.0,4.0,56.0,20,True,,3.0,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,decentralized,True,talao-altme,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-11-01 13:42:38.000000,2023-10-26 19:10:59,7390.0,293.0,15.0,10.0,512.0,75.0,1813.0,36.0,2023-01-06 16:00:40,,1.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,,,18.0,17,False,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,evernym-ssi,evernym/verity,decentralized,True,evernym-ssi,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,,55.0,99.0,201.0,3.0,,98.0,2021-03-22 11:09:10,,100.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,42.0,,144.0,16,False,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10,nextauthjs,nextauthjs/next-auth,authentication,,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-01 20:05:45.000000,2023-10-30 23:39:55,2565.0,195.0,2348.0,98.0,2049.0,226.0,3435.0,19570.0,2023-10-18 15:07:14,next-auth@4.24.3,100.0,Authentication for the Web.,151421.0,151421.0,580.0,42,True,2877172.0,1.0,,,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2877172.0,,,,,,,,,,,
11,coredns,coredns/coredns,machine,,,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-10-30 21:18:34.000000,2023-10-30 21:18:33,3771.0,64.0,1874.0,237.0,4041.0,89.0,2109.0,11335.0,2023-08-15 20:00:30,1.11.1,67.0,CoreDNS is a DNS server that chains plugins.,5594.0,5594.0,370.0,41,True,2812999.0,1.0,,"['linux-foundation', 'cncf']",6831497.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,251487851.0,,,,,145.0,,,,,,,,,,
12,open-policy-agent,open-policy-agent/opa,authorization,,,https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-11-01 17:57:45.000000,2023-11-01 14:04:50,4850.0,130.0,1170.0,125.0,3946.0,321.0,2083.0,8645.0,2023-10-26 22:37:54,0.58.0,100.0,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",3019.0,3019.0,426.0,40,True,4805450.0,1.0,,"['cncf', 'linux-foundation']",4382539.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-11-01 14:53:27.811707,448354227.0,,,,,39.0,,,,,,,,,,
13,oauthlib,oauthlib/oauthlib,authentication,,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-10-25 05:42:37.000000,2023-10-25 05:42:36,1677.0,29.0,458.0,69.0,492.0,75.0,293.0,2660.0,2023-01-10 13:13:43,3.2.2,48.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",452190.0,452190.0,195.0,40,True,83855452.0,1.0,,,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,83855452.0,,,,,,,
14,cert-manager,cert-manager/cert-manager,pki,,,https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-10-31 16:01:21.000000,2023-10-31 16:01:21,8122.0,183.0,1878.0,148.0,3116.0,163.0,2968.0,10839.0,2023-10-30 12:58:49,1.13.2,100.0,Automatically provision and manage TLS certificates in Kubernetes.,675.0,675.0,414.0,39,True,1595768.0,1.0,,['linux-foundation'],60639221.0,,,,,,,,,,,,,,,,,,,
15,speechbrain,speechbrain/speechbrain,voice,,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-11-01 22:00:42.000000,2023-10-30 10:16:51,9583.0,410.0,1134.0,123.0,1015.0,94.0,860.0,6760.0,2023-07-22 18:07:47,0.5.15,9.0,A PyTorch-based Speech Toolkit.,1062.0,1062.0,223.0,38,True,208441.0,1.0,,,,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,208441.0,,,,,,,
16,passport,jaredhanson/passport,authentication,,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-10-19 15:43:32.000000,2023-03-10 17:27:55,617.0,,1183.0,312.0,156.0,334.0,424.0,21895.0,,,,"Simple, unobtrusive authentication for Node.js.",937333.0,937333.0,38.0,37,True,9259627.0,2.0,,,,,,,,,passport,https://www.npmjs.com/package/passport,9259627.0,,,,,,,,,,,
17,keycloak,keycloak/keycloak,idp,,,https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-11-01 22:04:29.000000,2023-11-01 21:14:11,23215.0,643.0,5610.0,367.0,13175.0,1882.0,5923.0,17878.0,2023-10-24 10:22:23,22.0.5,43.0,Open Source Identity and Access Management For Modern Applications and Services.,,,1286.0,37,True,62078.0,1.0,,['cncf'],2172744.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
18,vault,hashicorp/vault,pki,,,https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-11-01 23:13:08.000000,2023-11-01 23:12:51,18477.0,666.0,3830.0,814.0,18089.0,915.0,4803.0,28799.0,2023-10-25 00:27:02,1.15.1,100.0,"A tool for secrets management, encryption as a service, and privileged access management.",6680.0,6680.0,1419.0,36,False,,2.0,,['hashicorp'],,,,,,,,,,,,,,,,,,,,
19,ory-kratos,ory/kratos,idp,,,https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-11-01 08:05:48.000000,2023-10-31 09:23:18,4014.0,147.0,804.0,107.0,1747.0,176.0,998.0,9516.0,2023-07-12 20:24:48,1.0.0,43.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",326.0,326.0,213.0,36,True,1703121.0,1.0,,['ory'],34406.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,112356721.0,,,,,17.0,,,,https://k8s.ory.sh/helm/charts,,,,,,
20,casbin,casbin/casbin,authorization,,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-10-30 06:10:48.000000,2023-10-30 06:05:45,1078.0,14.0,1538.0,231.0,479.0,35.0,734.0,15939.0,2023-09-02 15:37:12,2.77.2,100.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",2579.0,2579.0,135.0,35,True,293842.0,2.0,,,,,,,,,casbin,https://www.npmjs.com/package/casbin,174324.0,,casbin,https://pypi.org/project/casbin,119518.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,
21,ory-hydra,ory/hydra,authentication,,,https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-10-31 10:44:39.000000,2023-10-24 08:44:35,3731.0,63.0,1316.0,234.0,1722.0,75.0,1389.0,14624.0,2023-05-24 08:55:23,2.1.2,100.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",2.0,2.0,290.0,35,True,4016160.0,2.0,-1.0,['ory'],655368.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,408665447.0,,,,,75.0,,,,https://k8s.ory.sh/helm/charts,,,,,,
