,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,42,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2024-02-08 18:03:11.000000,2024-02-08 00:20:34,2867.0,250.0,2634.0,100.0,2303.0,222.0,3709.0,21135.0,2024-02-08 00:23:21,next-auth@5.0.0-beta.9,100.0,194363.0,194363.0,643.0,https://www.npmjs.com/package/next-auth,3225456.0,3225456.0,1.0,,,,,,,,,,,,,,,,,
7,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-02-07 16:21:12.000000,2024-02-05 17:12:34,3835.0,47.0,1923.0,238.0,4127.0,100.0,2119.0,11689.0,2023-08-15 20:00:30,1.11.1,67.0,5810.0,5810.0,375.0,,,2822716.0,1.0,coredns/coredns,7065670.0,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,148.0,260616081.0,-1.0,,,,,,,,,,
8,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],40,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-02-08 16:54:31.000000,2024-02-08 16:54:31,8477.0,344.0,1916.0,146.0,3293.0,180.0,3043.0,11146.0,2024-02-08 13:37:30,1.14.2,100.0,800.0,800.0,431.0,,,1952371.0,1.0,,70285362.0,,,,,,,,,,,,,,,
9,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-02-08 11:19:58.000000,2024-02-06 17:14:01,4977.0,111.0,1214.0,123.0,4092.0,322.0,2141.0,8928.0,2024-01-25 13:34:39,0.61.0,100.0,3363.0,3363.0,440.0,,,5185432.0,1.0,openpolicyagent/opa,5440541.0,https://hub.docker.com/r/openpolicyagent/opa,2024-02-06 17:51:41.760774,41.0,498298919.0,,,,,,,,,,,
