,name,homepage,category,description,resource,labels,projectrank,show,github_id,npm_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,trending,maven_id,maven_url,brew_id,gem_url,updated_github_id,apt_id
0,weboftrust,https://github.com/WebOfTrust,organizations,Standards Relating to a Web Of Trust Based on Autonomic Identifier Systems.,True,['weboftrust'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,identity-foundation,https://identity.foundation/,organizations,"Developing the foundational components of an open, standards-based, decentralized identity ecosystem for people,..",True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,solidproject,https://github.com/solid,organizations,Re-decentralizing the web.,True,['solid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,w3c,https://github.com/w3c,organizations,We are an international community that develops open standards to ensure the long-term growth of the Web.,True,['w3c'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,openid,https://github.com/openid,organizations,OpenID Foundation Working Groups.,True,['openid'],0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,trustoverip,https://github.com/trustoverip,organizations,Trust over IP Foundation.,True,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,nextauthjs,https://github.com/nextauthjs/next-auth,authentication,Authentication for the Web.,,,43,True,nextauthjs/next-auth,next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2024-03-14 17:01:52.000000,2024-03-14 17:01:51,2946.0,263.0,2734.0,101.0,2390.0,248.0,3797.0,21551.0,2024-03-07 14:57:20,next-auth@4.24.7,100.0,209819.0,209819.0,663.0,https://www.npmjs.com/package/next-auth,3642881.0,3642881.0,1.0,,,,,,,,,,,,,,,,,
7,cert-manager,https://github.com/cert-manager/cert-manager,pki,Automatically provision and manage TLS certificates in Kubernetes.,,['linux-foundation'],41,True,cert-manager/cert-manager,,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2024-03-14 16:27:25.000000,2024-03-14 15:58:22,8590.0,372.0,1936.0,146.0,3367.0,178.0,3078.0,11317.0,2024-03-08 12:32:07,1.14.4,100.0,887.0,887.0,439.0,,,2139319.0,1.0,74876177.0,,,,,,,,,,,,,,,,
8,coredns,https://github.com/coredns/coredns,machine,CoreDNS is a DNS server that chains plugins.,,"['linux-foundation', 'cncf']",40,True,coredns/coredns,,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2024-03-14 11:02:00.000000,2024-03-13 13:43:06,3859.0,48.0,1937.0,238.0,4160.0,105.0,2128.0,11823.0,2023-08-15 20:00:30,1.11.1,67.0,5879.0,5879.0,381.0,,,2846631.0,1.0,7177844.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,151.0,265620361.0,,,,,,,,,,,
9,open-policy-agent,https://github.com/open-policy-agent/opa,authorization,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",,"['cncf', 'linux-foundation']",40,True,open-policy-agent/opa,,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2024-03-14 11:48:02.000000,2024-03-13 20:04:17,5005.0,85.0,1224.0,122.0,4123.0,336.0,2146.0,9029.0,2024-03-06 10:37:47,0.62.1,100.0,3541.0,3541.0,444.0,,,5327568.0,1.0,6005462.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2024-03-13 23:35:11.743288,41.0,516419266.0,,,,,,,,,,,
